Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
1,SPP,Metropolitan Kansas City Area,Ice Storm,500-600,270000,2002-01-29,,,
2,SPP,Missouri,Ice Storm,210,95000,2002-01-30,16:00:00,2002-02-10,21:00:00
3,SPP,Oklahoma,Ice Storm,500,1881134,2002-01-30,06:00:00,2002-02-07,12:00:00
4,WSCC,California,Interruption of Firm Load,300,255000,2002-02-27,10:48:00,2002-02-27,11:35:00
5,ECAR,Lower Peninsula of Michigan,Severe Weather,190,190000,2002-03-09,00:00:00,2002-03-11,12:00:00
6,WSCC,Arizona,Vandalism/,0,0,2002-04-08,15:00:00,2002-04-09,00:00:00
7,WSCC,California,Interruption of Firm Power,240,1 PG&E,2002-07-09,12:27:00,2002-07-09,19:54:00
8,WSCC,California,Interruption of Firm Power (Unit Tripped),240,1 PG&E,2002-07-19,11:51:00,2002-07-19,16:30:00
9,NPCC,New York,Fire,278,63500,2002-07-20,12:40:00,2002-07-20,20:12:00
10,MAIN,Illinois,Interruption of Firm Power,232,53565,2002-08-02,12:43:00,2002-08-02,18:36:00
11,SERC,Florida,Interruption of Firm Power,51,25000,2002-08-09,08:23:00,2002-08-09,12:13:00
12,WSCC,California,Interruption of Firm Power,120,1 PG&E,2002-08-25,03:41:00,2002-08-25,09:17:00
13,SERC,Florida,Severe Weather,67.6,25000,2002-08-28,14:09:00,2002-08-28,15:38:00
14,SPP,Coastal Areas of Southern Louisiana,Hurricane Lily,,242910,2002-10-03,03:33:00,2002-10-12,00:00:00
15,WSCC,Northern and Central California,Winter Storm,270,939000,2002-11-06,22:00:00,2002-11-10,12:00:00
16,NPPC,"Northport, NY",Cable Tripped,0,0,2002-11-17,15:48:00,,
17,NPCC,Northwest and North Central Connecticut,Ice Storm,,224912,2002-11-17,06:00:00,2002-11-21,08:00:00
18,SPP,Arkansas,Ice Storm,,43000,2002-12-03,18:30:00,2002-12-09,22:30:00
19,SERC,Northern Virginia to Fredericksburg,Winter Storm,63,130000,2002-12-11,13:09:00,2002-12-13,22:00:00
20,WSCC,Northern and Central California,Winter Storm,180,1.5 million,2002-12-14,11:00:00,2002-12-19,16:00:00
21,WSCC,Northern and Central California,Winter Storm,56,385000,2002-12-19,06:00:00,2002-12-21,17:00:00
22,MAAC,Eastern Pennsylvania,Winter Storm,250,106000,2002-12-25,17:00:00,2002-12-26,05:00:00
23,MAAC,"Reading, York, Hanover, Hamburg Pennsylvania",Winter Storm,,95630,2002-12-25,10:00:00,2002-12-27,08:30:00
24,ECAR,"Cincinnati, Ohio",Cyber Threat From Internet ,,,2003-01-25,14:00:00,2003-01-26,02:00:00
25,SERC,"Piedmont, North Carolina",Winter Ice Storm,1000,"over 340,000",2003-02-27,11:32:00,2003-03-01,08:00:00
26,ECAR,Lower Michigan Peninsula ,Ice Storm,300,425000,2003-04-03,19:00:00,2003-04-06,17:00:00
27,NPCC,"New York, ",Severe Storm ,200-250,160000,2003-04-04,03:11:00,2003-04-05,14:00:00
28,ERCOT,"Cities of Bryan,",Relaying Malfunction,212,68530,2003-04-15,11:00:00,2003-04-15,14:06:00
29,MAIN,"County of Waukesha,  Wisconsin, ",Vandalism,0,0,2003-04-28,15:41:00,2003-04-29,12:00:00
30,SERC,"Central Georgia,",Severe Thunderstorms,130,"102,842 (Georgia)",2003-05-02,20:00:00,2003-05-03,08:00:00
