"state_abb","STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22","State","Demand Loss (MW)","Date of Restoration","Event Type","Region"
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-01,0,0,56,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-02,0,0,59,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-03,0.32,0,54,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-04,2.23,0,55,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",500,2008-01-14,"Weather","West"
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-05,0.56,0,51,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-06,0.01,0,53,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-07,0,0,55,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-08,0.39,0,49,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-09,0.02,0,51,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-10,0.09,0,53,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-11,0,0,53,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-12,0.01,0,57,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-13,0,0,57,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-14,0,0,56,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-15,0.01,0,55,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-16,0,0,57,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-17,0,0,55,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-18,0,0,59,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-19,0,0,61,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-20,0.04,0,55,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-21,0.18,0,50,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-22,1.16,0,46,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-23,0.66,0,45,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-24,0.17,0,48,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-25,0.44,0,57,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-26,0.08,0,64,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-27,0.54,0,57,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-28,0,0,53,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-29,0.16,0,46,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",0,2008-01-29,"Exciter Faulted","West"
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-30,0,0,54,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-01-31,0.35,0,49,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-02-01,0,0,53,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",0,2008-02-01,"Equipment Faulted","West"
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-02-02,0.29,0,48,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",0,2008-02-02,"Equipment Faulted","West"
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-02-03,0.07,0,58,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-02-04,0,0,54,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-02-05,0,0,55,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
