STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT22
USW00094728,"NY CITY CENTRAL PARK, NY US",1/1/2008,0.17,0,47,37,1,,,,,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/2/2008,0,0,38,17,,,,,,,,,,,,,,,1,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/3/2008,0,0,20,12,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/4/2008,0,0,36,16,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/5/2008,0.06,0,43,32,,,,,,,,,,,,,1,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/6/2008,0.01,0,50,36,,,,,,,,,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/7/2008,0,0,62,45,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/8/2008,0,0,64,53,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/9/2008,0.03,0,64,47,1,,,,,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/10/2008,0.01,0,50,41,,,,,,,,,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/11/2008,1.29,0,56,40,1,1,,,,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/12/2008,0,0,49,42,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/13/2008,0.3,0,45,36,1,,,,,,,,,,1,,1,,1,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/14/2008,0.18,0,39,34,1,,,,,,,1,,,1,,1,,1,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/15/2008,0,0,38,32,,,,,,,,,,,,,,,1,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/16/2008,0,0,39,29,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/17/2008,0.25,0,39,30,1,,,,,,,,,,1,,1,,1,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/18/2008,0.46,0,48,35,1,,,,,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/19/2008,0,0,37,32,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/20/2008,0,0,34,17,,,,,,,,,,,,,,,,,
