"","REGION","WBAN_ID","STATION_NAME","STATE_PROVINCE","COUNTY","COUNTRY","EXTENDED_NAME","CALL_SIGN","STATION_TYPE","DATE_ASSIGNED","BEGIN_DATE","COMMENTS","LOCATION","ELEV_OTHER","ELEV_GROUND","ELEV_RUNWAY","ELEV_BAROMETRIC","ELEV_STATION","ELEV_UPPER_AIR"
"1","240/940",0,"WOLF POINT","MT","","US","","OLF","FAA EXP","06/15/2010","","THIS WBAN WAS ASSIGNED 00000 WAS CORRECTED TO 94017","48*05'40""N 105*35'28""W","","","","","",""
"2","000",100,"DEXTER B FLORENCE MEMORIAL FIELD AP","AR","","US","","M89","METAR","09/21/2012","8/1/1960","ASSIGNED FOR METAR LOAD FOR QCLCD/ISD","34 05 59 N/ -93 03 57 W","","182 FT","","","",""
"3","001",101,"MANAS INTERNATIONAL AIRPORT","","","KG","MANAS INTERNATIONAL AIRPORT","","AWOS","November 2013","01-JAN-01","ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","43.067, 74.483","","2090 FEET","","","",""
"4","001",102,"BOB BARKER MEMORIAL AIRPORT","AK","NORTHWEST ARCTIC BOROUGH","US","BOB BARKER MEMORIAL AIRPORT","IAN","AWOS","November 2013","01-JUL-58","ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","66.983, -160.433","","168 FEET","","","",""
"5","001",103,"WALES AIRPORT","AK","NOME","US","WALES AIRPORT","IWK","AWOS","November 2013","01-OCT-54","ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","65.617, -168.1","","23 FEET","","","",""
"6","001",104,"NIKOLAI AIRPORT","AK","YUKON-KOYUKUK","US","NIKOLAI AIRPORT","FSP","AWOS","November 2013","01-JAN-01","ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","63.017, -154.367","","414 FEET","","","",""
"7","001",105,"MARSHALL DON HUNTER SR AIRPORT","AK","WADE HAMPTON","US","MARSHALL DON HUNTER SR AIRPORT","MDM","AWOS","November 2013","01-MAR-03","ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","61.867, -162.033","","102 FEET","","","",""
"8","001",106,"KIPNUK AIRPORT","AK","BETHEL","US","KIPNUK AIRPORT","IIK","AWOS","November 2013","01-AUG-73","ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","60.9, -161.233","","30 FEET","","","",""
"9","001",107,"NEW STUYAHOK AIRPORT","AK","DILLINGHAM","US","NEW STUYAHOK AIRPORT","KNW","AWOS","November 2013","01-JAN-01","ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","59.45, -157.333","","302 FEET","","","",""
"10","001",108,"SCAMMON BAY AIRPORT","AK","WADE HAMPTON","US","SCAMMON BAY AIRPORT","SCM","AWOS","November 2013","01-JUN-73","ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","61.85, -165.567","","14 FEET","","","",""
