Unnamed: 0,Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Affected State,Region
0,1,SPP,Metropolitan Kansas City Area,Ice Storm,500-600,270000,2002-01-29 00:00:00,,,,Kansas,Midwest
1,2,SPP,Missouri,Ice Storm,210,95000,2002-01-30 00:00:00,16:00:00,2002-02-10 00:00:00,21:00:00,Missouri,Midwest
2,3,SPP,Oklahoma,Ice Storm,500,1881134,2002-01-30 00:00:00,06:00:00,2002-02-07 00:00:00,12:00:00,Oklahoma,South
3,4,WSCC,California,Interruption of Firm Load,300,255000,2002-02-27 00:00:00,10:48:00,2002-02-27 00:00:00,11:35:00,California,West
4,5,ECAR,Lower Peninsula of Michigan,Severe Weather,190,190000,2002-03-09 00:00:00,00:00:00,2002-03-11 00:00:00,12:00:00,Michigan,Midwest
5,6,WSCC,Arizona,Vandalism/,0,0,2002-04-08 00:00:00,15:00:00,2002-04-09 00:00:00,00:00:00,Arizona,Southwest
6,7,WSCC,California,Interruption of Firm Power,240,1 PG&E,2002-07-09 00:00:00,12:27:00,2002-07-09 00:00:00,19:54:00,California,West
7,8,WSCC,California,Interruption of Firm Power (Unit Tripped),240,1 PG&E,2002-07-19 00:00:00,11:51:00,2002-07-19 00:00:00,16:30:00,California,West
8,9,NPCC,New York,Fire,278,63500,2002-07-20 00:00:00,12:40:00,2002-07-20 00:00:00,20:12:00,New York,Northeast
9,10,MAIN,Illinois,Interruption of Firm Power,232,53565,2002-08-02 00:00:00,12:43:00,2002-08-02 00:00:00,18:36:00,Illinois,Midwest
10,11,SERC,Florida,Interruption of Firm Power,51,25000,2002-08-09 00:00:00,08:23:00,2002-08-09 00:00:00,12:13:00,Florida,Southeast
11,12,WSCC,California,Interruption of Firm Power,120,1 PG&E,2002-08-25 00:00:00,03:41:00,2002-08-25 00:00:00,09:17:00,California,West
12,13,SERC,Florida,Severe Weather,67.6,25000,2002-08-28 00:00:00,14:09:00,2002-08-28 00:00:00,15:38:00,Florida,Southeast
13,14,SPP,Coastal Areas of Southern Louisiana,Hurricane Lily,,242910,2002-10-03 00:00:00,03:33:00,2002-10-12 00:00:00,00:00:00,Louisiana,South
14,15,WSCC,Northern and Central California,Winter Storm,270,939000,2002-11-06 00:00:00,22:00:00,2002-11-10 00:00:00,12:00:00,California,West
15,16,NPPC,"Northport, NY",Cable Tripped,0,0,2002-11-17 00:00:00,15:48:00,,,New York,Northeast
16,17,NPCC,Northwest and North Central Connecticut,Ice Storm,,224912,2002-11-17 00:00:00,06:00:00,2002-11-21 00:00:00,08:00:00,Connecticut,Northeast
17,18,SPP,Arkansas,Ice Storm,,43000,2002-12-03 00:00:00,18:30:00,2002-12-09 00:00:00,22:30:00,Arkansas,South
18,19,SERC,Northern Virginia to Fredericksburg,Winter Storm,63,130000,2002-12-11 00:00:00,13:09:00,2002-12-13 00:00:00,22:00:00,Virginia,Southeast
19,20,WSCC,Northern and Central California,Winter Storm,180,1.5 million,2002-12-14 00:00:00,11:00:00,2002-12-19 00:00:00,16:00:00,California,West
20,21,WSCC,Northern and Central California,Winter Storm,56,385000,2002-12-19 00:00:00,06:00:00,2002-12-21 00:00:00,17:00:00,California,West
21,22,MAAC,Eastern Pennsylvania,Winter Storm,250,106000,2002-12-25 00:00:00,17:00:00,2002-12-26 00:00:00,05:00:00,Pennsylvania,Northeast
22,23,MAAC,"Reading, York, Hanover, Hamburg Pennsylvania",Winter Storm,,95630,2002-12-25 00:00:00,10:00:00,2002-12-27 00:00:00,08:30:00,Pennsylvania,Northeast
23,24,ECAR,"Cincinnati, Ohio",Cyber Threat From Internet ,,,2003-01-25 00:00:00,14:00:00,2003-01-26 00:00:00,02:00:00,Ohio,Midwest
24,25,SERC,"Piedmont, North Carolina",Winter Ice Storm,1000,"over 340,000",2003-02-27 00:00:00,11:32:00,2003-03-01 00:00:00,08:00:00,North Carolina,Southeast
25,26,ECAR,Lower Michigan Peninsula ,Ice Storm,300,425000,2003-04-03 00:00:00,19:00:00,2003-04-06 00:00:00,17:00:00,Michigan,Midwest
26,27,NPCC,"New York, ",Severe Storm ,200-250,160000,2003-04-04 00:00:00,03:11:00,2003-04-05 00:00:00,14:00:00,New York,Northeast
28,29,MAIN,"County of Waukesha,  Wisconsin, ",Vandalism,0,0,2003-04-28 00:00:00,15:41:00,2003-04-29 00:00:00,12:00:00,Wisconsin,Midwest
29,30,SERC,"Central Georgia,",Severe Thunderstorms,130,"102,842 (Georgia)",2003-05-02 00:00:00,20:00:00,2003-05-03 00:00:00,08:00:00,Georgia,Southeast
31,32,ERCOT,North Texas,Interruption of Firm ,476,192000,2003-05-15 00:00:00,02:52:00,2003-05-15 00:00:00,03:29:00,Texas,South
32,33,MAIN,Upper Michigan Peninsula,Flood,240,2,2003-05-15 00:00:00,14:00:00,2003-06-16 00:00:00,14:00:00,Michigan,Midwest
33,34,WECC,Idaho,Public Appeal ,0,0,2003-06-15 00:00:00,15:12:00,2003-06-16 00:00:00,17:00:00,Idaho,West
35,36,WECC,"Phoenix, Arizona",Breaker Failure,1000,47000,2003-07-01 00:00:00,15:15:00,2003-07-01 00:00:00,15:50:00,Arizona,Southwest
36,37,WECC,Northern California,Unit Tripped,200,1,2003-07-02 00:00:00,13:54:00,2003-07-02 00:00:00,15:59:00,California,West
37,38,ECAR,Lower Michigan Peninsula,Severe Thunderstorms,75-90 ,131000,2003-07-04 00:00:00,09:00:00,2003-07-06 00:00:00,16:00:00,Michigan,Midwest
38,39,MAIN,Southeast Wisconsin,Severe Thunderstorms,150,52000,2003-07-04 00:00:00,06:00:00,2003-07-04 00:00:00,10:00:00,Wisconsin,Midwest
39,40,ECAR,"Southwest Ohio, portions of Indiana",Severe Storms,200,55142,2003-07-04 00:00:00,23:41:00,2003-07-06 00:00:00,21:00:00,Indiana,Midwest
40,40,ECAR,"Southwest Ohio, portions of Indiana",Severe Storms,200,55142,2003-07-04 00:00:00,23:41:00,2003-07-06 00:00:00,21:00:00,Ohio,Midwest
